imageSetLvl,imageSetName,refSetNumber,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,image.started,image.stopped,Trial No.,Comp Side,Ref Num,Level List,Bounce Num,Staircase,Scene No,comp>ref?,leftImagePortrait.started,leftImagePortrait.stopped,ISI.started,ISI.stopped,rightImagePortrait.started,rightImagePortrait.stopped,text_2.started,text_2.stopped,resp.keys,resp.rt,resp.started,resp.stopped,ISI_2.started,ISI_2.stopped,text_4.started,text_4.stopped,participant,date,expName,psychopyVersion,frameRate,
decanterStudio,decanterStudio,7,0,0,0,0,17,0,17,0,,,,,,,7,1,7,21,21,0,1,0,143.3971026004292,145.90923510026187,0.004507400095462799,0.5045074000954628,146.09527679998428,None,None,None,left,4.38992980029434,142.9017343004234,None,3.0053139999508858,3.205313999950886,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,18,0,18,0,,,,,,,8,-1,7,21,21,0,1,0,147.9480489003472,150.45550160016865,0.011588499881327152,0.5115884998813272,150.64091890025884,153.136785000097,153.136785000097,None,right,6.512810900341719,147.4560499000363,None,3.0036276997998357,3.203627699799836,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,19,0,19,0,,,,,,,9,1,7,21,21,0,1,0,154.61898580007255,157.11670790007338,0.01520810043439269,0.5152081004343927,157.31561590032652,159.81492520030588,159.81492520030588,None,left,5.859083299990743,154.1264510001056,None,3.011758600361645,3.2117586003616454,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,20,0,20,0,,,,,,,10,1,7,21,21,0,1,0,160.7073482000269,163.21196050010622,0.006993880495429039,0.506993880495429,163.41256810026243,165.90983130037785,165.90983130037785,None,left,8.395928800106049,160.2124588000588,None,3.0115325804799795,3.2115325804799797,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,21,0,21,0,,,,,,,6,1,7,9.1875,9,1,1,1,169.29780480032787,171.8048718003556,0.008566420059651136,0.5085664200596511,171.9911790001206,None,None,None,right,4.67658089986071,168.8048363002017,None,3.001390620134771,3.201390620134771,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,22,0,22,0,,,,,,,11,1,7,21,21,0,1,0,174.141355200205,176.65089610032737,0.013329200446605682,0.5133292004466057,176.83662870014086,179.33197220042348,179.33197220042348,None,left,6.697017599828541,173.64926390023902,None,3.0074607003480196,3.2074607003480198,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,23,0,23,0,,,,,,,12,1,7,21,21,0,1,0,181.03197880042717,183.5284020002,0.015209019649773836,0.5152090196497738,183.72762610018253,None,None,None,left,4.715751799754798,180.5377017003484,None,3.0112447198480368,3.211244719848037,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,24,0,24,0,,,,,,,4,1,7,16.1,16,0,2,0,185.91045890003443,188.40772100025788,0.0015066396445035934,0.5015066396445036,188.62335620028898,None,None,None,left,4.211478699930012,185.41812720010057,None,3.0135777397081256,3.2135777397081258,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,25,0,25,0,,,,,,,5,1,7,16.450000000000003,16,0,2,0,190.30376770021394,192.80421890038997,0.004662300460040569,0.5046623004600406,193.00458660023287,195.5019558002241,195.5019558002241,None,left,6.2065023998729885,189.81117110000923,None,3.003658000379801,3.203658000379801,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
decanterStudio,decanterStudio,7,0,0,0,0,26,0,26,0,,,,,,,13,-1,7,21,21,0,1,0,196.74653240013868,199.24881900008768,0.0031641400419175625,0.5031641400419176,199.44723270041868,None,None,None,right,4.163644200190902,196.2545663001947,None,3.003809240180999,3.203809240180999,,,L,2021_May_19_2300,InterleavedStaircase,2020.2.10,60.006324700811284,
