imageSetLvl,imageSetName,refSetNumber,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,image.started,image.stopped,Trial No.,Comp Side,Ref Num,Level List,Bounce Num,Staircase,Scene No,comp>ref?,leftImagePortrait.started,leftImagePortrait.stopped,ISI.started,ISI.stopped,rightImagePortrait.started,rightImagePortrait.stopped,text_2.started,text_2.stopped,resp.keys,resp.rt,resp.started,resp.stopped,ISI_2.started,ISI_2.stopped,text_4.started,text_4.stopped,participant,date,expName,psychopyVersion,frameRate,
decanterStudio,decanterStudio,7,0,0,0,0,10,0,10,0,,,,,,,5,1,7,15.020833333333332,15,0,1,1,78.71013549994677,81.20953960018232,0.005764779634773731,0.5057647796347737,81.40870589995757,None,None,None,right,3.7261701999232173,78.21609919983894,None,3.0053693796508014,3.2053693796508016,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,11,0,11,0,,,,,,,2,1,7,2.625,3,1,1,0,82.63147250004113,85.13975289976224,0.014315979555249214,0.5143159795552492,85.32606799993664,None,None,None,left,3.909551799762994,82.1378031000495,None,3.0099217793904245,3.2099217793904247,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,12,0,12,0,,,,,,,3,1,7,3.9375,4,1,1,0,86.74356690002605,89.25280730007216,0.015686579514294863,0.5156865795142949,89.44133719988167,None,None,None,left,3.781905500218272,86.24890139978379,None,3.0125677795149386,3.2125677795149388,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,13,0,13,0,,,,,,,4,1,7,5.6875,6,1,2,0,90.71808050014079,93.21615399979055,0.004810089711099863,0.5048100897110999,93.41808950016275,None,None,None,left,4.051274999976158,90.22476310003549,None,3.0029474897310138,3.202947489731014,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,14,0,14,0,,,,,,,4,-1,7,5.25,5,1,1,0,94.97127339988947,97.47942870017141,0.014655080158263445,0.5146550801582634,97.6673737000674,None,None,None,right,4.338204199913889,94.4766997997649,None,3.0111438799649477,3.211143879964948,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,15,0,15,0,,,,,,,5,1,7,7.0,7,1,2,1,99.50403380021453,102.00899400003254,0.012286379467695951,0.512286379467696,102.19521650020033,None,None,None,right,4.604393800254911,99.0100012999028,None,3.005734079517424,3.2057340795174243,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,16,0,16,0,,,,,,,6,1,7,13.970833333333331,14,0,1,1,104.33914079982787,106.83856539987028,0.008170370012521744,0.5081703700125217,107.03783849999309,None,None,None,right,3.7125594997778535,103.84317510016263,None,3.010235169902444,3.210235169902444,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,17,0,17,0,,,,,,,3,-1,7,17.325,17,0,2,1,108.24317529983819,110.75198089983314,0.014824979938566685,0.5148249799385667,110.9394336999394,None,None,None,left,3.856094100046903,107.75026529980823,None,3.009991880040616,3.209991880040616,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,18,0,18,0,,,,,,,7,1,7,12.92083333333333,13,0,1,0,112.30825959984213,114.81583449989557,0.012566769495606422,0.5125667694956064,115.00303449993953,None,None,None,left,3.586338800378144,111.81545609980822,None,3.00674556940794,3.20674556940794,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,19,0,19,0,,,,,,,6,1,7,6.708333333333333,7,1,2,1,116.0706683001481,118.5791289000772,0.013515989761799574,0.5135159897617996,118.76713490020484,None,None,None,right,3.777051500044763,115.57691030018032,None,3.007945189718157,3.2079451897181572,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
