imageSetLvl,imageSetName,refSetNumber,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,Trial No.,Comp Side,Ref Num,Level List,Bounce Num,Staircase,Scene No,comp>ref?,leftImagePortrait.started,leftImagePortrait.stopped,ISI.started,ISI.stopped,rightImagePortrait.started,rightImagePortrait.stopped,text_2.started,text_2.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,car,4,0,1,1,1,4,0,4,0,,,2,-1,4,1,1,1,2,1,149.98300460000246,154.99506630000178,0.011015520001819823,0.5110155200018198,149.98300460000246,154.99506630000178,154.98012949999975,None,right,0.2932951000002504,154.98012949999975,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
2,car,4,0,1,1,1,5,0,5,0,,,3,1,4,1,1,1,2,0,155.84534390000044,160.85662800000136,0.011395550005545374,0.5113955500055454,155.84534390000044,160.85662800000136,160.84162070000093,None,right,0.2796883999981219,160.84162070000093,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
2,car,4,0,1,1,1,6,0,6,0,,,2,-1,4,1,1,1,1,1,161.68450479999956,166.68535770000017,0.0008101200037344825,0.5008101200037345,161.68450479999956,166.68535770000017,166.68535770000017,None,right,0.5814513000004808,166.68535770000017,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
2,car,4,0,1,1,1,7,0,7,0,,,3,-1,4,1,1,1,3,1,167.82373440000083,172.83016700000007,0.006604919999517733,0.5066049199995177,167.82373440000083,172.83016700000007,172.83016700000007,None,right,0.5319014000015159,172.83016700000007,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
2,car,4,0,1,1,1,8,0,8,0,,,4,1,4,1,1,1,2,0,173.93372720000116,178.94196809999994,0.008328150001034373,0.5083281500010344,173.93372720000116,178.94196809999994,178.94196809999994,None,right,0.31465709999974933,178.94196809999994,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
2,car,4,0,1,1,1,9,0,9,0,,,4,1,4,1,1,1,3,1,179.8306620000003,184.83704040000157,0.007087149999279063,0.5070871499992791,179.8306620000003,184.83704040000157,184.83704040000157,None,left,0.42967940000016824,184.83704040000157,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
2,car,4,0,1,1,1,10,0,10,0,,,5,-1,4,1,1,1,2,1,185.8243016000015,190.83212060000005,0.00776691999999457,0.5077669199999946,185.8243016000015,190.83212060000005,190.83212060000005,None,right,0.37009589999797754,190.83212060000005,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
2,car,4,0,1,1,1,11,0,11,0,,,5,1,4,1,1,1,3,1,191.76909460000024,196.77724920000037,0.007074720000673551,0.5070747200006736,191.76909460000024,196.77724920000037,196.77724920000037,None,left,0.28497559999959776,196.77724920000037,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
2,car,4,0,1,1,1,12,0,12,0,,,3,1,4,1,1,1,1,1,197.6234910000021,202.6219283999999,0.014600220001739217,0.5146002200017392,197.6234910000021,202.6219283999999,202.6219283999999,None,left,0.36504359999889857,202.6219283999999,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
2,car,4,0,1,1,1,13,0,13,0,,,6,-1,4,1,1,1,3,0,203.53933600000164,208.5509555000026,0.011736320000636624,0.5117363200006366,203.53933600000164,208.5509555000026,208.53590640000039,None,left,3.456810300001962,208.53590640000039,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
2,car,4,0,1,1,1,14,0,14,0,,,7,-1,4,1,1,1,3,1,212.56608509999933,217.57649110000057,0.010755150000477443,0.5107551500004774,212.56608509999933,217.57649110000057,217.56183610000153,None,right,0.32018819999939296,217.56183610000153,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
2,car,4,0,1,1,1,15,0,15,0,,,4,1,4,1,1,1,1,1,218.46070180000243,223.47163060000094,0.011543349999556085,0.5115433499995561,218.46070180000243,223.47163060000094,223.45671370000127,None,left,0.34986449999996694,223.45671370000127,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
2,car,4,0,1,1,1,16,0,16,0,,,6,1,4,1,1,1,2,1,224.37485740000193,229.38358860000153,0.008340249998582294,0.5083402499985823,224.37485740000193,229.38358860000153,229.38358860000153,None,left,0.4065883999974176,229.38358860000153,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
2,car,4,0,1,1,1,17,0,17,0,,,5,1,4,1,1,1,1,1,230.36657760000162,235.37884720000147,0.013030550006078556,0.5130305500060786,230.36657760000162,235.37884720000147,235.36411410000073,None,left,0.42157660000157193,235.36411410000073,None,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
2,car,4,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_16_1909,InterleavedStaircase,2020.2.10,60.17861011442339,
